order,category,label,rating,maxPoints,points,description
1,organization,Organization & Formatting,Excellent,5,5,All formatting guidelines are followed; YAML is correctly filled out.
1,organization,Organization & Formatting,Good,5,4,Most formatting guidelines are followed; YAML is correctly filled out.
1,organization,Organization & Formatting,Needs work,5,3,Several or all formatting guidelines not followed; YAML contains elements that aren't updated from the template; template file wasn't used.
2,documentation,Data Documentation,Excellent,5,5,The README file included in the template was updated with thoughtful and accurate information about the data.
2,documentation,Data Documentation,Good,5,4,"The README file included in the template was updated, but some of the information was missing or inaccurate."
2,documentation,Data Documentation,Needs work,5,3,"The README file included in the template was not updated, missing, or most of the information in it was inaccurate."
3,strategy,Strategy,Excellent,5,5,"A specific, numbered strategy is written before implementation; it correctly identifies the key judgment calls in the data (e.g. distinguishing countries from regions/subtotals) and describes how the data will be reshaped and cleaned."
3,strategy,Strategy,Good,5,4,"A strategy is present and numbered, but is vague in places or misses one of the key judgment calls."
3,strategy,Strategy,Needs work,5,3,"Strategy is missing, generic/copied from the assignment prompt, or clearly written after the cleaning code rather than guiding it."
4,cleaning,Data Cleaning,Excellent,10,9 - 10,"The resulting ""clean"" data frame is exactly (or very close to) the desired final state."
4,cleaning,Data Cleaning,Good,10,7 - 8,"The resulting ""clean"" data frame has one or two significant errors that prevent it from being in the desired final state."
4,cleaning,Data Cleaning,Needs work,10,4 - 6,"Multiple errors prevent the resulting ""clean"" data frame from being in the desired final state."
5,verification,Verification,Excellent,10,9 - 10,"Runs and reports on multiple concrete, specific checks (e.g. row/shape counts, a duplicate check, an NA audit, an independent reconciliation against totals reported in the source file, manual spot-checks) with real output shown; clearly documents at least one place where Claude's first attempt was wrong and how it was caught and corrected. The exported transcript corroborates that the student -- not just the agent -- did the verifying and reasoning."
5,verification,Verification,Good,10,6 - 8,"Runs some real checks, but they are generic (e.g. only `head()`/`glimpse()`) or the write-up asserts correctness without independent evidence. The transcript suggests verification was mostly outsourced to the agent (e.g. ""please verify this is correct"") rather than the student directly checking."
5,verification,Verification,Needs work,10,0 - 5,"No real verification beyond visually inspecting the output. Claims the data was ""double checked"" or ""verified"" with no supporting checks in the report or evidence in the transcript."
6,technical,Technical & Process,Excellent,5,5,"All code runs without errors; the html file renders from the qmd; the exported Claude Code transcript is included; all files are included in the submitted .zip file."
6,technical,Technical & Process,Good,5,4,"Code has only one or two errors, otherwise runs; transcript included but incomplete, or a minor file is missing from the submitted .zip."
6,technical,Technical & Process,Needs work,5,3,"Code has multiple errors; html file cannot be rendered without significant changes; transcript is missing; submitted .zip is missing components necessary to reproduce the analysis."
